productid,country,company,cost,estimatedTime,tracked
32868589524,IQ,China Post Registered Air Mail,2.21 USD,36-56 days,false
32868589524,IQ,AliExpress Standard Shipping,5.41 USD,37-55 days,false
32868589524,IQ,EMS,52.14 USD,5-17 days,false
32868589524,IQ,DHL,99.45 USD,17-23 days,true
32868589524,IR,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,IR,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,IR,EMS,52.14 USD,7-15 days,true
32868589524,IR,DHL,99.45 USD,7-15 days,true
32868589524,KP,China Post Registered Air Mail,2.01 USD,20-40 days,true
32868589524,KP,AliExpress Standard Shipping,4.93 USD,20-40 days,true
32868589524,KP,EMS,21.08 USD,7-15 days,true
32868589524,KP,DHL,99.45 USD,7-15 days,true
32868589524,IR,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,IR,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,IR,EMS,52.14 USD,7-15 days,true
32868589524,IR,DHL,99.45 USD,7-15 days,true
32868589524,MT,China Post Registered Air Mail,2.64 USD,16-28 days,true
32868589524,MT,AliExpress Standard Shipping,5.19 USD,14-23 days,true
32868589524,MT,EMS,32.80 USD,17-27 days,true
32868589524,MT,DHL,51.82 USD,9-20 days,true
32868589524,MR,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,MR,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,MR,DHL,99.45 USD,7-15 days,true
32868589524,MM,China Post Registered Air Mail,2.01 USD,24-43 days,false
32868589524,MM,AliExpress Standard Shipping,4.93 USD,21-43 days,false
32868589524,MM,DHL,99.45 USD,8-15 days,true
32868589524,MW,China Post Registered Air Mail,2.21 USD,44-60 days,false
32868589524,MW,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,MW,DHL,99.45 USD,7-15 days,true
32868589524,MV,China Post Registered Air Mail,2.09 USD,24-39 days,true
32868589524,MV,AliExpress Standard Shipping,4.69 USD,21-36 days,true
32868589524,MV,DHL,99.45 USD,10-19 days,true
